Annotation	Annotation type	Estimate	Std. Error	t value	Pr(>|t|)	P.adjust
NSM	Non-synonymous missense	Gene-based	0.0221070803983344	0.00504210427888468	4.38449488062244	1.16264037038482e-05	0.000744089837046282
H3K27me3	H3K27me3	HM ChIP-seq	0.0517865652744248	0.0127270899744026	4.06900284185787	4.72174678214448e-05	0.00297470047275103
EP_genes_C42B	Enhancer (Hi-C,C42B)	Enhancer	0.0302538448381668	0.00776005125972317	3.89866559196492	9.67289433280037e-05	0.00599719448633623
U3	In 3' UTR	Gene-based	0.0156211103038425	0.00403577417790523	3.87066015471426	0.000108546151603869	0.00662131524783599
AR	AR	TF ChIP-seq	0.0263253039090711	0.00770084461298509	3.41849566275907	0.000629701905479789	0.0377821143287873
HDAC1	HDAC1	TF ChIP-seq	-0.0334249606514576	0.0101776966486718	-3.28413803292315	0.00102297424605266	0.0603554805171071
H3K4me2	H3K4me2	HM ChIP-seq	-0.0419738396588668	0.0135410977790352	-3.09973684141415	0.0019369665637699	0.112344060698654
SYN	Synonymous	Gene-based	0.0156514880538261	0.00529926190386593	2.95352227116912	0.00314175383282087	0.179079968470789
TRIM28	TRIM28	TF ChIP-seq	-0.0222141716123816	0.00799033343553753	-2.78013074067505	0.00543377736820143	0.30429153261928
RELA	RELA	TF ChIP-seq	0.030543251829877	0.0114400911630726	2.66984339499562	0.00758875451851933	0.417381498518563
TLE3	TLE3	TF ChIP-seq	-0.0179730717242973	0.00684032585626966	-2.62751689056212	0.00860115496572105	0.464462368148937
U5	In 5' UTR	Gene-based	0.0165367427056059	0.00672564410318039	2.45875970418745	0.0139419152080914	0.738921506028842
DNaseI	DNaseI		0.0112081635491402	0.00462593355553234	2.42289765181255	0.0153973953859826	0.800664560071095
CREB1	CREB1	TF ChIP-seq	-0.0183031575461333	0.00773686231066693	-2.3657080624142	0.0179957697175786	0.917784255596511
R3	In 3' gene region	Gene-based	0.0105235041318006	0.00449214559952216	2.34264537928601	0.0191477179463779	0.957385897318896
RUNX2	RUNX2	TF ChIP-seq	0.00959996102333655	0.00412584624143383	2.3267859395556	0.0199768091560235	0.978863648645151
KDM1A	KDM1A	TF ChIP-seq	-0.0231432593502185	0.0102472064919881	-2.25849448513732	0.0239150078467405	1
H3K9ac	H3K9ac	HM ChIP-seq	0.00826783965069322	0.00446075504546367	1.85346192885017	0.0638163973702414	1
ARID1A	ARID1A	TF ChIP-seq	0.017412501017297	0.00970391713506295	1.79437857670701	0.0727529889297698	1
HIF1A	HIF1A	TF ChIP-seq	0.0109337158763936	0.00629868075492819	1.73587395548486	0.0825863533284442	1
ETV1	ETV1	TF ChIP-seq	0.0142877143137086	0.00826794408842702	1.72808550238114	0.0839731263056062	1
ERG	ERG	TF ChIP-seq	0.0144850688266145	0.00851447098084279	1.70122945503078	0.0889001404925396	1
INT	In Intron	Gene-based	0.0021562480062427	0.00127548770943752	1.69052825071407	0.0909271704121764	1
HDAC3	HDAC3	TF ChIP-seq	0.0170211980317814	0.010699686006502	1.59081285389477	0.111651934828393	1
NSN	Non-synonymous nonsense	Gene-based	-0.0532624966202497	0.0337679933991654	-1.57730712603036	0.114725109202009	1
JUND	JUND	TF ChIP-seq	0.0200224089279924	0.0130994230603885	1.52849547920461	0.126389800788601	1
GRHL2	GRHL2	TF ChIP-seq	0.0184809669514832	0.0121446907238074	1.52173220148412	0.128076431132104	1
GATA2	GATA2	TF ChIP-seq	0.00732821268884708	0.00495323672286237	1.47947960068669	0.139012414144988	1
H3K4me3	H3K4me3	HM ChIP-seq	-0.00824216287725675	0.00567055454656592	-1.45350208865343	0.146084634016342	1
H3K27ac	H3K27ac	HM ChIP-seq	0.00520159598744906	0.00361792020940707	1.43773098531146	0.150510631031965	1
HOXB13	HOXB13	TF ChIP-seq	0.0094248335349401	0.00677380126676891	1.39136552192293	0.164114844806041	1
ETS1	ETS1	TF ChIP-seq	-0.0121312297350914	0.0103813967265739	-1.16855468051214	0.242583303966261	1
MYC	MYC	TF ChIP-seq	-0.0165811967205982	0.0150827325863706	-1.0993496454072	0.271615782777829	1
SUPT5H	SUPT5H	TF ChIP-seq	0.0101440067833988	0.0100428156766645	1.01007596972723	0.312459076272858	1
TRIM24	TRIM24	TF ChIP-seq	-0.00727284028570736	0.00773427121557659	-0.940339442850165	0.347043642999635	1
NKX3.1	NKX3.1	TF ChIP-seq	0.00423988268198958	0.00554998356250637	0.763945088167946	0.444900100953024	1
ZFX	ZFX	TF ChIP-seq	0.00136700279600153	0.00199434378164053	0.685439896865248	0.493066493617	1
NSF	Non-synonymous frameshift	Gene-based	0.0286108777884372	0.0420472984644154	0.680445090013348	0.496222796255888	1
CTCF	CTCF	TF ChIP-seq	0.00330343877766867	0.00487577306141228	0.67752102816529	0.498075549611821	1
PIAS1	PIAS1	TF ChIP-seq	0.00699356511839343	0.0103436598987024	0.676120946249476	0.498963975281672	1
ASH2L	ASH2L	TF ChIP-seq	0.00524466967767175	0.00811689035508935	0.646142728093315	0.518187036415662	1
POU2F1	POU2F1	TF ChIP-seq	-0.00297954671182376	0.00515438546750222	-0.5780605138303	0.563223361549623	1
GABPA	GABPA	TF ChIP-seq	-0.00414361790239505	0.00750862316540451	-0.5518478968936	0.581052660275517	1
SUMO2	SUMO2	TF ChIP-seq	-0.00342992320229813	0.00627013359647473	-0.547025537737592	0.584361278329133	1
ASS	In acceptor splice site	Gene-based	0.0258901883581452	0.0501733514933292	0.516014728686949	0.605844207298739	1
DAXX	DAXX	TF ChIP-seq	-0.00236756544997018	0.00475152927049282	-0.49827441128751	0.618290722721835	1
FOXA1	FOXA1	TF ChIP-seq	0.00125814665784152	0.00253782712838627	0.495757431138163	0.620065643159696	1
HNF4G	HNF4G	TF ChIP-seq	-0.00376281089745951	0.00771026664965941	-0.488026039621564	0.62553147660325	1
TP63	TP63	TF ChIP-seq	-0.00580761515302745	0.0121406869030613	-0.478359684208894	0.632394300962493	1
BRD3	BRD3	TF ChIP-seq	0.00315973612846791	0.00710162766417459	0.444931257718249	0.656369504559729	1
EPAS1	EPAS1	TF ChIP-seq	-0.00502758954594012	0.0122961894365223	-0.408873787435896	0.682632351607912	1
TCF7L2	TCF7L2	TF ChIP-seq	0.0025076288217517	0.00699919874926468	0.358273698402284	0.720138555451547	1
VDR	VDR	TF ChIP-seq	0.00152629550528827	0.00567958137468118	0.268733803532121	0.788134578186706	1
ERF	ERF	TF ChIP-seq	0.0037871981186952	0.0147334767029892	0.257047144746687	0.797142418594578	1
CBX8	CBX8	TF ChIP-seq	-0.00112930844097955	0.00488590314775691	-0.231136067749932	0.817209130872614	1
EZH2	EZH2	TF ChIP-seq	0.00265579678768934	0.0122438693040343	0.216908292774267	0.828279847729519	1
BRD4	BRD4	TF ChIP-seq	0.00140824154284354	0.00707495367380926	0.199046044365874	0.842226757099356	1
REPIN1	REPIN1	TF ChIP-seq	-0.00180656280448679	0.0118778074084984	-0.152095647147319	0.879111520202622	1
ZMYND8	ZMYND8		0.000577565582694964	0.00589055826945051	0.0980493794094735	0.921893097778017	1
E2F1	E2F1	TF ChIP-seq	0.000588828811318058	0.00714460803241835	0.0824158314418752	0.934316059497086	1
MED1	MED1	TF ChIP-seq	-0.000380779177308169	0.00964443799896278	-0.0394817383189275	0.968506318746774	1
DSS	In donor splice-site	Gene-based	-0.00113406105619022	0.0376073377639022	-0.0301553133941524	0.975943191537824	1
NR3C1	NR3C1	TF ChIP-seq	0.000141910778822439	0.00739036552041431	0.0192021326185343	0.984679859188127	1
BRD2	BRD2	TF ChIP-seq	4.38042461145381e-05	0.00782989878405773	0.00559448433787253	0.995536271437147	1
