description	annotation_id	genes_found	input_size	term_genes	universe	pval	pval_adj	relative_enrichment	annotsbias	genes
positive regulation of transcription, DNA-templated	GO:0045893	27	345	734	18004	0.0009619613019398828	0.0631948967836071	1.919630375547921	0	EDRF1, MYC, ATF7IP, HNF1B, PBXIP1, ARNT, FANK1, MECOM, CHEK2, ATF4, TRIM8, RFX6, INO80, TCF4, CDKN1C, MAP2K1, GDF7, NKX3-1, EBF2, SHC1, TP53, SOX9, FOXO3, HOXA11, RUVBL1, NCOA4, HMGA1
negative regulation of axon regeneration	GO:0048681	3	345	11	18004	0.001026646197136097	0.0631948967836071	14.232411067193675	0	PTEN, KREMEN1, CERS2
cerebral cortex GABAergic interneuron differentiation	GO:0021892	2	345	3	18004	0.0010845086873743001	0.0631948967836071	34.79033816425121	0	DLX2, DLX1
histamine uptake	GO:0051615	2	345	3	18004	0.0010845086873743001	0.0631948967836071	34.79033816425121	0	SLC22A3, SLC22A2
protein-DNA complex assembly	GO:0065004	2	345	3	18004	0.0010845086873743001	0.0631948967836071	34.79033816425121	0	HNF1B, TCF4
cellular response to corticosterone stimulus	GO:0071386	2	345	3	18004	0.0010845086873743001	0.0631948967836071	34.79033816425121	0	FOXO3, ATP2B1
morphogenesis of an epithelium	GO:0002009	4	345	25	18004	0.0012190816090040582	0.06647042473094628	8.34968115942029	0	RIPK4, HOXB13, SOX9, KRT6A
positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress	GO:1990440	3	345	12	18004	0.0013495016677016166	0.07178690578676161	13.046376811594204	0	XBP1, ATF4, TP53
placenta development	GO:0001890	5	345	44	18004	0.0014762044542526464	0.07487446313314004	5.930171277997364	0	ASCL2, CDKN1B, CDKN1C, PHLDA2, HSD17B2
regulation of transcription, DNA-templated	GO:0006355	44	345	1444	18004	0.0014735805037732867	0.07487446313314004	1.5901401100004013	0	MYC, VDR, IRX3, ZNF215, ZNF217, GATAD2B, ATF7IP, ARNT, GATA2, DLX2, ZNF79, CHEK2, KAT7, XBP1, ATF4, ZBTB38, IRX5, RFX6, HOXA10, HOXA9, POU5F1B, EMSY, HOXA13, NKX3-1, SLC2A4RG, SPDEF, EBF2, FOXP4, HOXB13, TP53, IRX4, SOX9, FOXO3, DLX1, CREB3L4, HOXA11, CHD3, MEIS1, EVX1, HMGA1, EWSR1, ELK4, RFX7, MTERF4
placenta blood vessel development	GO:0060674	3	345	13	18004	0.0017295638545907943	0.08569521306118795	12.042809364548495	0	ITGB8, MAP2K1, SPINT1
response to gamma radiation	GO:0010332	4	345	28	18004	0.0018860019380729123	0.08569521306118795	7.455072463768116	0	MYC, CHEK2, TP53, SOD2
positive regulation of miRNA transcription	GO:1902895	5	345	46	18004	0.0018060636404799533	0.08569521306118795	5.672337744171393	0	MYC, TERT, GATA2, TP53, FOXO3
branching morphogenesis of an epithelial tube	GO:0048754	4	345	28	18004	0.0018860019380729123	0.08569521306118795	7.455072463768116	0	HNF1B, GDF7, NKX3-1, MMP14
extrinsic apoptotic signaling pathway in absence of ligand	GO:0097192	4	345	28	18004	0.0018860019380729123	0.08569521306118795	7.455072463768116	0	MCL1, BOK, BCL2L11, FOXO3
cellular response to hypoxia	GO:0071456	8	345	119	18004	0.0020816060723639162	0.09102277104545757	3.5082693947144077	0	MYC, TERT, MDM4, PTEN, NKX3-1, TP53, FOXO3, MIEF1
re-entry into mitotic cell cycle	GO:0000320	2	345	4	18004	0.0021415090501886425	0.09102277104545757	26.092753623188404	0	MYC, CCND1
quaternary ammonium group transport	GO:0015697	2	345	4	18004	0.0021415090501886425	0.09102277104545757	26.092753623188404	0	SLC22A3, SLC22A1
positive regulation of response to DNA damage stimulus	GO:2001022	3	345	14	18004	0.002170189864449241	0.09102277104545757	11.182608695652174	0	MYC, NKX3-1, ATM
cellular response to gamma radiation	GO:0071480	4	345	30	18004	0.002449553728000891	0.09713593965036262	6.958067632850242	0	RAD51, CHEK2, TP53, ATM
endoplasmic reticulum unfolded protein response	GO:0030968	5	345	49	18004	0.0023977983823245163	0.09713593965036262	5.325051759834368	0	XBP1, ATF4, BHLHA15, CREB3L4, CCND1
negative regulation of fibroblast proliferation	GO:0048147	4	345	30	18004	0.002449553728000891	0.09713593965036262	6.958067632850242	0	MYC, TP53, SOD2, C1QL4
positive regulation of neuron apoptotic process	GO:0043525	5	345	50	18004	0.0026231015361630732	0.10216043661377969	5.218550724637682	0	ATF4, TP53, BCL2L11, FOXO3, ATM
somatic stem cell population maintenance	GO:0035019	4	345	31	18004	0.002770517537235812	0.10600874997739133	6.733613838242169	0	ASCL2, GATA2, ZFP36L2, SOX9
histone H4-K5 acetylation	GO:0043981	3	345	16	18004	0.003245292807685668	0.11796639355937404	9.784782608695652	0	KANSL2, KAT7, JADE2
histone H4-K8 acetylation	GO:0043982	3	345	16	18004	0.003245292807685668	0.11796639355937404	9.784782608695652	0	KANSL2, KAT7, JADE2
regulation of DNA strand elongation	GO:0060382	3	345	16	18004	0.003245292807685668	0.11796639355937404	9.784782608695652	0	INO80, NUCKS1, RUVBL1
heart development	GO:0007507	12	345	251	18004	0.003421492582535108	0.11824332531277532	2.49492464922917	0	PTEN, CDKN1B, MAP2K1, NKX3-1, SHC1, TP53, IRX4, SOX9, SOD2, ATM, PDLIM5, MTERF4
embryonic cranial skeleton morphogenesis	GO:0048701	4	345	33	18004	0.003496503356955692	0.11824332531277532	6.325516029863856	0	SLC39A1, DLX2, IRX5, MMP14
subpallium development	GO:0021544	2	345	5	18004	0.003523987228487114	0.11824332531277532	20.874202898550728	0	DLX2, DLX1
anterior head development	GO:0097065	2	345	5	18004	0.003523987228487114	0.11824332531277532	20.874202898550728	0	SOX9, COL2A1
positive regulation of telomere maintenance via telomere lengthening	GO:1904358	2	345	5	18004	0.003523987228487114	0.11824332531277532	20.874202898550728	0	RTEL1, ATM
positive regulation of erythrocyte differentiation	GO:0045648	4	345	34	18004	0.0039037392044485803	0.11906002950928202	6.139471440750214	0	ARNT, GATA2, KAT7, FOXO3
negative regulation of cell cycle G1/S phase transition	GO:1902807	3	345	17	18004	0.0038852462284035176	0.11906002950928202	9.20920716112532	0	PTEN, CDKN1B, NKX3-1
regulation of apoptotic process	GO:0042981	11	345	223	18004	0.003939746028445014	0.11906002950928202	2.5741730031845065	0	FANK1, MCL1, BIK, RASSF6, BOK, TP53, SOX9, BCL2L11, RASSF3, UMODL1, ATM
telomere maintenance	GO:0000723	5	345	55	18004	0.003985044545702699	0.11906002950928202	4.744137022397893	0	TERT, RTEL1, INO80, RUVBL1, ATM
uterus development	GO:0060065	3	345	17	18004	0.0038852462284035176	0.11906002950928202	9.20920716112532	0	CDKN1C, HOXA10, HOXA11
mitotic intra-S DNA damage checkpoint signaling	GO:0031573	3	345	17	18004	0.0038852462284035176	0.11906002950928202	9.20920716112532	0	CHEK2, TIPIN, RAD9A
positive regulation by host of viral transcription	GO:0043923	3	345	17	18004	0.0038852462284035176	0.11906002950928202	9.20920716112532	0	CDK9, NUCKS1, TAF11
DNA damage response, signal transduction by p53 class mediator	GO:0030330	3	345	17	18004	0.0038852462284035176	0.11906002950928202	9.20920716112532	0	MDM4, TP53, FOXO3
liver development	GO:0001889	6	345	80	18004	0.004335403157472321	0.1260735238192951	3.913913043478261	0	HNF1B, RHBDD3, XBP1, FPGS, SOD2, CCND1
hemopoiesis	GO:0030097	6	345	80	18004	0.004335403157472321	0.1260735238192951	3.913913043478261	0	PBXIP1, GATA2, ZFP36L2, CD164, SOD2, MEIS1
branching involved in prostate gland morphogenesis	GO:0060442	2	345	6	18004	0.005219153259321407	0.12758715049670186	17.395169082125605	0	HOXA13, NKX3-1
response to X-ray	GO:0010165	3	345	19	18004	0.005381943074597236	0.12758715049670186	8.239816933638444	0	RAD51, TP53, CCND1
xenobiotic transport across blood-brain barrier	GO:1990962	2	345	6	18004	0.005219153259321407	0.12758715049670186	17.395169082125605	0	SLC22A1, SLC22A2
negative regulation of epithelial cell proliferation involved in prostate gland development	GO:0060770	2	345	6	18004	0.005219153259321407	0.12758715049670186	17.395169082125605	0	CDKN1B, NKX3-1
protein stabilization	GO:0050821	10	345	198	18004	0.004977554252984119	0.12758715049670186	2.63563167910994	0	ATF7IP, MDM4, CHEK2, PTEN, GTPBP4, TP53, STXBP1, AFM, TCP1, SAXO1
cellular response to DNA damage stimulus	GO:0006974	19	345	517	18004	0.005347456316567961	0.12758715049670186	1.9178426260757435	0	MYC, BCCIP, CDK9, RTEL1, RAD51, CHEK2, KAT7, ZBTB38, INO80, EMSY, NUCKS1, RAD23B, TIPIN, TP53, RAD51B, RAD9A, RUVBL1, ATM, CCND1
DNA damage checkpoint signaling	GO:0000077	4	345	37	18004	0.005315224591255171	0.12758715049670186	5.641676459067764	0	CHEK2, TIPIN, RAD9A, ATM
nuclear membrane organization	GO:0071763	2	345	6	18004	0.005219153259321407	0.12758715049670186	17.395169082125605	0	TOR1B, TOR1A
negative regulation of fat cell differentiation	GO:0045599	5	345	57	18004	0.004650037376841921	0.12758715049670186	4.57767607424358	0	GATA2, ZFP36L2, SOD2, C1QL4, FERMT2
positive regulation of intrinsic apoptotic signaling pathway in response to DNA damage	GO:1902231	2	345	6	18004	0.005219153259321407	0.12758715049670186	17.395169082125605	0	SKIL, RAD9A
cell fate determination	GO:0001709	3	345	19	18004	0.005381943074597236	0.12758715049670186	8.239816933638444	0	GATA2, MCL1, EBF2
regulation of axon regeneration	GO:0048679	2	345	6	18004	0.005219153259321407	0.12758715049670186	17.395169082125605	0	PTEN, MAP2K1
replication fork processing	GO:0031297	4	345	36	18004	0.004812063268984332	0.12758715049670186	5.798389694041868	0	CDK9, RTEL1, RAD51, NUCKS1
dopamine transport	GO:0015872	2	345	6	18004	0.005219153259321407	0.12758715049670186	17.395169082125605	0	SLC22A3, SLC22A1
positive regulation of chondrocyte differentiation	GO:0032332	3	345	18	18004	0.004596736481565775	0.12758715049670186	8.697584541062803	0	BMPR1B, SOX9, HOXA11
endochondral bone morphogenesis	GO:0060350	2	345	6	18004	0.005219153259321407	0.12758715049670186	17.395169082125605	0	BMPR1B, SOX9
positive regulation of intrinsic apoptotic signaling pathway	GO:2001244	4	345	37	18004	0.005315224591255171	0.12758715049670186	5.641676459067764	0	BOK, NKX3-1, TP53, BCL2L11
negative regulation of Notch signaling pathway	GO:0045746	4	345	38	18004	0.0058523902682264956	0.13435855973686303	5.493211289092296	0	GATA2, DLX2, DLX1, MMP14
ERK1 and ERK2 cascade	GO:0070371	4	345	38	18004	0.0058523902682264956	0.13435855973686303	5.493211289092296	0	MYC, ZFP36L2, MAP2K1, SOX9
negative regulation of epithelial cell proliferation	GO:0050680	5	345	60	18004	0.0057900463335408365	0.13435855973686303	4.348792270531401	0	PTEN, CDKN1B, CDKN1C, NKX3-1, SOX9
histone H4-K16 acetylation	GO:0043984	3	345	20	18004	0.006242838914504028	0.13753163305589175	7.827826086956522	0	KANSL2, KAT7, JADE2
cartilage condensation	GO:0001502	3	345	20	18004	0.006242838914504028	0.13753163305589175	7.827826086956522	0	BMPR1B, SOX9, COL2A1
negative regulation of myeloid cell differentiation	GO:0045638	3	345	20	18004	0.006242838914504028	0.13753163305589175	7.827826086956522	0	GATA2, HOXA9, MEIS1
protein localization to membrane	GO:0072657	3	345	20	18004	0.006242838914504028	0.13753163305589175	7.827826086956522	0	RAB29, PACSIN1, FERMT2
protein kinase B signaling	GO:0043491	4	345	39	18004	0.006424529248097664	0.14011898290101005	5.352359717577109	0	PIK3C2B, PTEN, NKX3-1, SOX9
cartilage development involved in endochondral bone morphogenesis	GO:0060351	2	345	7	18004	0.007214585392853458	0.14049116733761957	14.910144927536232	0	COL2A1, HOXA11
tissue homeostasis	GO:0001894	3	345	21	18004	0.007181199209865799	0.14049116733761957	7.455072463768115	0	HOXA13, SOX9, COL2A1
cellular response to phorbol 13-acetate 12-myristate	GO:1904628	2	345	7	18004	0.007214585392853458	0.14049116733761957	14.910144927536232	0	MYC, ADAM15
release of cytochrome c from mitochondria	GO:0001836	3	345	21	18004	0.007181199209865799	0.14049116733761957	7.455072463768115	0	BOK, TP53, SOD2
otic vesicle development	GO:0071599	2	345	7	18004	0.007214585392853458	0.14049116733761957	14.910144927536232	0	SOX9, COL2A1
cellular response to ionizing radiation	GO:0071479	4	345	40	18004	0.007032581507114394	0.14049116733761957	5.218550724637682	0	RAD51, INO80, TP53, RAD9A
positive regulation of chondrocyte proliferation	GO:1902732	2	345	7	18004	0.007214585392853458	0.14049116733761957	14.910144927536232	0	PBXIP1, SOX9
skeletal system development	GO:0001501	8	345	145	18004	0.0069076312824244	0.14049116733761957	2.8792003998000997	0	VDR, CDKN1C, HOXA10, HOXA13, SOX9, COL2A1, HOXA11, MMP14
positive regulation of interleukin-1 alpha production	GO:0032730	2	345	7	18004	0.007214585392853458	0.14049116733761957	14.910144927536232	0	S100A13, NLRP10
nail development	GO:0035878	2	345	7	18004	0.007214585392853458	0.14049116733761957	14.910144927536232	0	KRT84, ITGA6
apoptotic process	GO:0006915	23	345	688	18004	0.007137943192907045	0.14049116733761957	1.7445736434108527	0	JTB, KLF11, TAX1BP1, MCL1, MECOM, CHEK2, PTEN, XBP1, BIK, RASSF6, BOK, PHLDA2, RRAGA, ADAM15, KREMEN1, NUAK2, TP53, BCL2L11, FOXO3, KLLN, RMDN3, MX1, ATM
positive regulation of histone phosphorylation	GO:0033129	2	345	7	18004	0.007214585392853458	0.14049116733761957	14.910144927536232	0	CDK9, ATM
regulation of spongiotrophoblast cell proliferation	GO:0060721	1	345	1	18004	0.01916240835355033	0.14993781268692666	52.18550724637681	0	PHLDA2
in utero embryonic development	GO:0001701	10	345	227	18004	0.012438064200823329	0.14993781268692666	2.2989210240694633	0	ASCL2, MYC, MBNL1, CHTOP, SLC39A1, TP53, RAD51B, BCL2L11, TAB1, HSD17B2
positive regulation of xenophagy	GO:1904417	2	345	8	18004	0.009498220740871564	0.14993781268692666	13.046376811594202	0	LRSAM1, TBK1
uroporphyrinogen III biosynthetic process	GO:0006780	1	345	1	18004	0.01916240835355033	0.14993781268692666	52.18550724637681	0	UROS
limb development	GO:0060173	4	345	45	18004	0.01064230711681231	0.14993781268692666	4.638711755233495	0	SLC39A1, ZNRF3, KREMEN1, FERMT2
negative regulation of RNA interference	GO:1900369	1	345	1	18004	0.01916240835355033	0.14993781268692666	52.18550724637681	0	ADAR
endothelial cell fate specification	GO:0060847	1	345	1	18004	0.01916240835355033	0.14993781268692666	52.18550724637681	0	HOXA13
modulation by host of viral RNA-binding transcription factor activity	GO:1990969	1	345	1	18004	0.01916240835355033	0.14993781268692666	52.18550724637681	0	NUCKS1
somatic diversification of immune receptors via somatic mutation	GO:0002566	1	345	1	18004	0.01916240835355033	0.14993781268692666	52.18550724637681	0	ADAR
regulation of circadian sleep/wake cycle, REM sleep	GO:0042320	1	345	1	18004	0.01916240835355033	0.14993781268692666	52.18550724637681	0	CHRNB2
L-asparagine metabolic process	GO:0070982	1	345	1	18004	0.01916240835355033	0.14993781268692666	52.18550724637681	0	ATF4
regulation of RNA polymerase II transcription preinitiation complex assembly	GO:0045898	1	345	1	18004	0.01916240835355033	0.14993781268692666	52.18550724637681	0	ATF7IP
gene expression involved in extracellular matrix organization	GO:1901148	1	345	1	18004	0.01916240835355033	0.14993781268692666	52.18550724637681	0	PBXIP1
negative regulation of synaptic vesicle clustering	GO:2000808	1	345	1	18004	0.01916240835355033	0.14993781268692666	52.18550724637681	0	PTEN
adaptive thermogenesis	GO:1990845	2	345	10	18004	0.014883589303647894	0.14993781268692666	10.437101449275364	0	PM20D1, THADA
ureteric bud elongation	GO:0060677	1	345	1	18004	0.01916240835355033	0.14993781268692666	52.18550724637681	0	HNF1B
negative regulation of mesenchymal cell apoptotic process involved in mesonephric nephron morphogenesis	GO:0061296	1	345	1	18004	0.01916240835355033	0.14993781268692666	52.18550724637681	0	HNF1B
positive regulation of release of cytochrome c from mitochondria	GO:0090200	3	345	27	18004	0.014514725252753902	0.14993781268692666	5.798389694041868	0	BIK, TP53, BCL2L11
pronephric nephron development	GO:0039019	1	345	1	18004	0.01916240835355033	0.14993781268692666	52.18550724637681	0	SEC61A1
negative regulation of Schwann cell proliferation involved in axon regeneration	GO:1905045	1	345	1	18004	0.01916240835355033	0.14993781268692666	52.18550724637681	0	CERS2
otolith mineralization completed early in development	GO:0031173	1	345	1	18004	0.01916240835355033	0.14993781268692666	52.18550724637681	0	ATG4B
amide biosynthetic process	GO:0043604	1	345	1	18004	0.01916240835355033	0.14993781268692666	52.18550724637681	0	PM20D1
negative regulation of telomere maintenance in response to DNA damage	GO:1904506	1	345	1	18004	0.01916240835355033	0.14993781268692666	52.18550724637681	0	RTEL1
positive regulation of transcription from RNA polymerase II promoter in response to arsenic-containing substance	GO:0061395	1	345	1	18004	0.01916240835355033	0.14993781268692666	52.18550724637681	0	ATF4
pancreatic D cell differentiation	GO:0003311	1	345	1	18004	0.01916240835355033	0.14993781268692666	52.18550724637681	0	RFX6
diadenosine polyphosphate catabolic process	GO:0015961	1	345	1	18004	0.01916240835355033	0.14993781268692666	52.18550724637681	0	NUDT3
negative regulation of immune system process	GO:0002683	1	345	1	18004	0.01916240835355033	0.14993781268692666	52.18550724637681	0	SOX9
macrophage fusion	GO:0034238	1	345	1	18004	0.01916240835355033	0.14993781268692666	52.18550724637681	0	CD81
negative regulation of production of miRNAs involved in gene silencing by miRNA	GO:1903799	2	345	11	18004	0.017962909993668473	0.14993781268692666	9.488274044795784	0	TERT, TP53
CD4-positive, alpha-beta T cell costimulation	GO:0035783	1	345	1	18004	0.01916240835355033	0.14993781268692666	52.18550724637681	0	CD81
forebrain morphogenesis	GO:0048853	2	345	9	18004	0.012058346152958796	0.14993781268692666	11.596779388083736	0	PTEN, GDF7
positive regulation of vesicle docking	GO:0106022	1	345	1	18004	0.01916240835355033	0.14993781268692666	52.18550724637681	0	STXBP1
negative regulation of cell population proliferation	GO:0008285	16	345	463	18004	0.017268541436414212	0.14993781268692666	1.8033868594860236	0	VDR, KLF11, MDM4, TNS2, PTEN, CD164, CDKN1B, MAP2K1, GTPBP4, NKX3-1, CTBP2, TP53, SOX9, SOD2, HMGA1, ADGRG1
regulation of cyclin-dependent protein serine/threonine kinase activity	GO:0000079	4	345	53	18004	0.018575868719113448	0.14993781268692666	3.9385288487831556	0	BCCIP, CDKN1B, GTPBP4, CCND1
Golgi to plasma membrane protein transport	GO:0043001	3	345	30	18004	0.01931798503669252	0.14993781268692666	5.218550724637682	0	GOLPH3L, VAMP5, ARFRP1
regulation of DNA repair	GO:0006282	3	345	24	18004	0.010476032162583112	0.14993781268692666	6.523188405797102	0	CDK9, INO80, RUVBL1
mitochondrial transcription	GO:0006390	2	345	10	18004	0.014883589303647894	0.14993781268692666	10.437101449275364	0	FOXO3, MTERF4
monoamine transport	GO:0015844	2	345	9	18004	0.012058346152958796	0.14993781268692666	11.596779388083736	0	SLC22A3, SLC22A1
macromolecule modification	GO:0043412	1	345	1	18004	0.01916240835355033	0.14993781268692666	52.18550724637681	0	TET2
negative regulation of Schwann cell migration	GO:1900148	1	345	1	18004	0.01916240835355033	0.14993781268692666	52.18550724637681	0	CERS2
embryonic placenta development	GO:0001892	3	345	24	18004	0.010476032162583112	0.14993781268692666	6.523188405797102	0	ARNT, GATA2, SPINT1
limb bud formation	GO:0060174	2	345	11	18004	0.017962909993668473	0.14993781268692666	9.488274044795784	0	SOX9, COL2A1
protein transport within extracellular region	GO:0071693	1	345	1	18004	0.01916240835355033	0.14993781268692666	52.18550724637681	0	AFM
DNA strand elongation	GO:0022616	1	345	1	18004	0.01916240835355033	0.14993781268692666	52.18550724637681	0	TERT
small GTPase mediated signal transduction	GO:0007264	7	345	122	18004	0.009148428944665976	0.14993781268692666	2.9942504157757184	0	SH2D3C, RAPGEF3, ARFIP2, RHOV, RHOBTB2, ARL3, RHOD
positive regulation of extrinsic apoptotic signaling pathway via death domain receptors	GO:1902043	2	345	11	18004	0.017962909993668473	0.14993781268692666	9.488274044795784	0	SKIL, BMPR1B
positive regulation of adaptive immune memory response	GO:1905676	1	345	1	18004	0.01916240835355033	0.14993781268692666	52.18550724637681	0	CD81
extraction of mislocalized protein from mitochondrial outer membrane	GO:0140570	1	345	1	18004	0.01916240835355033	0.14993781268692666	52.18550724637681	0	ATAD1
