Database	description	annotation_id	genes_found	input_size	term_genes	universe	pval	pval_adj	relative_enrichment	OR	genes
GO_BP	regulation of DNA replication	GO:0006275	6	345	48	18004	0.000295110076907063	0.00646559350314565	6.5231884057971	7.42393594605984	KAT7, ZBTB38, INO80, JADE2, NUCKS1, RUVBL1
WikiPathways	Mammary gland development pathway - Embryonic development (Stage 1 of 4)	WP2813	4	158	18	7782	0.000400859905273093	0.00805060309756795	10.9451476793249	14.1187384044527	MYC, TERT, ITGA6, CCND1
GO_BP	cell cycle	GO:0007049	26	345	662	18004	0.000457902284363767	0.00848880388705137	2.04958185559788	2.18153230417381	BCCIP, JTB, TTC28, ZFYVE19, WTAP, SPICE1, KNL1, CHEK2, ZWILCH, KRT18, INO80, CDKN1B, TET2, CDKN1C, HAUS6, ENSA, TIPIN, TP53, INCENP, KLLN, ARL3, HAUS8, RUVBL1, ATM, CCND1, USP39
GO_BP	regulation of synapse assembly	GO:0051963	3	345	10	18004	0.000757373550507452	0.0130114935436901	15.655652173913	22.1203007518797	CHRNB2, RAB17, PDLIM5
WikiPathways	Ovarian infertility	WP34	8	158	98	7782	0.000809843996495237	0.0130114935436901	4.02066649444588	4.46459259259259	VDR, IRX3, CDK9, HDAC7, BMPR1B, IRX5, CDKN1B, ATM
GO_BP	negative regulation of axon regeneration	GO:0048681	3	345	11	18004	0.0010266461971361	0.0154638583443625	14.2324110671937	19.3541666666667	PTEN, KREMEN1, CERS2
GO_BP	placenta blood vessel development	GO:0060674	3	345	13	18004	0.00172956385459079	0.0239224456355564	12.0428093645485	15.4815789473684	ITGB8, MAP2K1, SPINT1
GO_BP	branching morphogenesis of an epithelial tube	GO:0048754	4	345	28	18004	0.00188600193807291	0.0239224456355564	7.45507246376812	8.61925708699902	HNF1B, GDF7, NKX3-1, MMP14
GO_BP	extrinsic apoptotic signaling pathway in absence of ligand	GO:0097192	4	345	28	18004	0.00188600193807291	0.0239224456355564	7.45507246376812	8.61925708699902	MCL1, BOK, BCL2L11, FOXO3
WikiPathways	Mevalonate arm of cholesterol biosynthesis pathway	WP4190	3	158	13	7782	0.00202219283854594	0.0243674237044786	11.3661148977605	14.7367741935484	PMVK, IDI2, ACAT2
GO_BP	positive regulation of response to DNA damage stimulus	GO:2001022	3	345	14	18004	0.00217018986444924	0.0249055122539175	11.1826086956522	14.07336523126	MYC, NKX3-1, ATM
GO_BP	embryonic cranial skeleton morphogenesis	GO:0048701	4	345	33	18004	0.00349650335695569	0.0383026049557419	6.32551602986386	7.13115582970978	SLC39A1, DLX2, IRX5, MMP14
GO_BP	positive regulation by host of viral transcription	GO:0043923	3	345	17	18004	0.00388524622840352	0.0392000478446712	9.20920716112532	11.0557644110276	CDK9, NUCKS1, TAF11
GO_BP	positive regulation of erythrocyte differentiation	GO:0045648	4	345	34	18004	0.00390373920444858	0.0392000478446712	6.13947144075021	6.8930596285435	ARNT, GATA2, KAT7, FOXO3
GO_BP	liver development	GO:0001889	6	345	80	18004	0.00433540315747232	0.0417932864380332	3.91391304347826	4.20593159531213	HNF1B, RHBDD3, XBP1, FPGS, SOD2, CCND1
GO_BP	nuclear membrane organization	GO:0071763	2	345	6	18004	0.00521915325932141	0.0463231528920691	17.3951690821256	25.7361516034985	TOR1B, TOR1A
GO_BP	positive regulation of intrinsic apoptotic signaling pathway in response to DNA damage	GO:1902231	2	345	6	18004	0.00521915325932141	0.0463231528920691	17.3951690821256	25.7361516034985	SKIL, RAD9A
GO_BP	cell fate determination	GO:0001709	3	345	19	18004	0.00538194307459724	0.0463231528920691	8.23981693363844	9.67269736842105	GATA2, MCL1, EBF2
GO_BP	ERK1 and ERK2 cascade	GO:0070371	4	345	38	18004	0.0058523902682265	0.0486353811945719	5.4932112890923	6.08073141279972	MYC, ZFP36L2, MAP2K1, SOX9
GO_BP	protein localization to membrane	GO:0072657	3	345	20	18004	0.00624283891450403	0.0501508059465157	7.82782608695652	9.1031991744066	RAB29, PACSIN1, FERMT2
GO_BP	release of cytochrome c from mitochondria	GO:0001836	3	345	21	18004	0.0071811992098658	0.0526883357478086	7.45507246376811	8.59697855750487	BOK, TP53, SOD2
GO_BP	cartilage development involved in endochondral bone morphogenesis	GO:0060351	2	345	7	18004	0.00721458539285346	0.0526883357478086	14.9101449275362	20.5877551020408	COL2A1, HOXA11
GO_BP	positive regulation of interleukin-1 alpha production	GO:0032730	2	345	7	18004	0.00721458539285346	0.0526883357478086	14.9101449275362	20.5877551020408	S100A13, NLRP10
GO_BP	glucose homeostasis	GO:0042593	7	345	120	18004	0.00838986186821047	0.0594693150070213	3.04415458937198	3.21574069225533	RFX6, CRTC2, PFKM, NUCKS1, FOXO3, BHLHA15, BACE2
GO_BP	small GTPase mediated signal transduction	GO:0007264	7	345	122	18004	0.00914842894466598	0.0618667891500012	2.99425041577572	3.15945459223051	SH2D3C, RAPGEF3, ARFIP2, RHOV, RHOBTB2, ARL3, RHOD
GO_BP	endocrine pancreas development	GO:0031018	3	345	23	18004	0.00929647686302174	0.0618667891500012	6.80680529300567	7.73640350877193	HNF1B, RFX6, SOX9
GO_BP	positive regulation of xenophagy	GO:1904417	2	345	8	18004	0.00949822074087156	0.0618667891500012	13.0463768115942	17.1554907677357	LRSAM1, TBK1
WikiPathways	Androgen receptor signaling pathway	WP138	6	158	91	7782	0.0102813766318546	0.0652055728493936	3.24746139936013	3.50108359133127	KLK3, PTEN, KAT7, RAD9A, NCOA4, CCND1
GO_BP	limb development	GO:0060173	4	345	45	18004	0.0106423071168123	0.0657640003885068	4.6387117552335	5.04055503898147	SLC39A1, ZNRF3, KREMEN1, FERMT2
GO_BP	response to hypoxia	GO:0001666	8	345	159	18004	0.0117028067504737	0.070509410671604	2.62568589918877	2.75245151020889	ASCL2, ARNT, CDKN1B, ADSL, CHRNB2, SOD2, ATM, MMP14
GO_BP	digestive system development	GO:0055123	2	345	9	18004	0.0120583461529588	0.0708795468990993	11.5967793880837	14.7038733860891	CDKN1C, WDPCP
GO_BP	in utero embryonic development	GO:0001701	10	345	227	18004	0.0124380642008233	0.071370796961867	2.29892102406946	2.39933970699498	ASCL2, MYC, MBNL1, CHTOP, SLC39A1, TP53, RAD51B, BCL2L11, TAB1, HSD17B2
GO_BP	autophagy	GO:0006914	9	345	196	18004	0.0135104703467173	0.0757214733385784	2.39627329192547	2.50267379679144	LRSAM1, XBP1, ARFIP2, VPS18, TOLLIP, VAMP8, TP53, TECPR1, ATG4B
GO_BP	cell-matrix adhesion	GO:0007160	6	345	103	18004	0.0143448547806265	0.0763179791953009	3.03993246095399	3.20445214852659	TIMM10B, ITGB8, ADAM15, BCL2L11, ITGA6, FERMT2
GO_BP	adaptive thermogenesis	GO:1990845	2	345	10	18004	0.0148835893036479	0.0763179791953009	10.4371014492754	12.8651603498542	PM20D1, THADA
GO_BP	histone H3-K9 methylation	GO:0051567	2	345	10	18004	0.0148835893036479	0.0763179791953009	10.4371014492754	12.8651603498542	MECOM, SETDB1
GO_BP	formation of translation preinitiation complex	GO:0001731	2	345	10	18004	0.0148835893036479	0.0763179791953009	10.4371014492754	12.8651603498542	EIF4B, EIF2D
GO_BP	negative regulation of cell population proliferation	GO:0008285	16	345	463	18004	0.0172685414364142	0.08331578822403	1.80338685948602	1.87261241780733	VDR, KLF11, MDM4, TNS2, PTEN, CD164, CDKN1B, MAP2K1, GTPBP4, NKX3-1, CTBP2, TP53, SOX9, SOD2, HMGA1, ADGRG1
GO_BP	negative regulation of gene expression	GO:0010629	12	345	312	18004	0.0176296388391046	0.08331578822403	2.00713489409142	2.08516516516517	MYC, TERT, GATA2, SETDB1, ITGB8, PC, NKX3-1, TP53, SOX9, ADNP, TBK1, GAS2L1
GO_BP	vesicle docking involved in exocytosis	GO:0006904	3	345	29	18004	0.01763114190633	0.08331578822403	5.39850074962519	5.94905533063428	RAB13, VPS18, STXBP1
GO_BP	regulation of G1/S transition of mitotic cell cycle	GO:2000045	3	345	29	18004	0.01763114190633	0.08331578822403	5.39850074962519	5.94905533063428	INO80, CDKN1B, CCND1
GO_BP	endocytic recycling	GO:0032456	4	345	53	18004	0.0185758687191134	0.0860920069481986	3.93852884878316	4.21569214195942	RAB13, LMTK2, VPS53, RAB17
GO_BP	Golgi to plasma membrane protein transport	GO:0043001	3	345	30	18004	0.0193179850366925	0.0878421583743942	5.21855072463768	5.72839506172839	GOLPH3L, VAMP5, ARFRP1
GO_BP	gluconeogenesis	GO:0006094	3	345	31	18004	0.0210909279829978	0.0899969752609304	5.05021037868163	5.5234962406015	ATF4, CRTC2, PC
GO_BP	positive regulation of protein acetylation	GO:1901985	2	345	12	18004	0.0212855916592242	0.0899969752609304	8.6975845410628	10.2909620991254	RAPGEF3, XBP1
GO_BP	regulation of keratinocyte differentiation	GO:0045616	2	345	12	18004	0.0212855916592242	0.0899969752609304	8.6975845410628	10.2909620991254	GRHL1, KRT84
GO_BP	protein localization to kinetochore	GO:0034501	2	345	12	18004	0.0212855916592242	0.0899969752609304	8.6975845410628	10.2909620991254	KNL1, ZWILCH
GO_BP	Rho protein signal transduction	GO:0007266	4	345	56	18004	0.0222898182445938	0.0926180378783984	3.72753623188406	3.97180239115723	MYO9B, C15orf62, ADGRG1, RHOD
GO_BP	cytoplasmic translation	GO:0002181	5	345	86	18004	0.0247620815086067	0.0957467245642146	3.0340411189754	3.19135802469136	RPS10, RPL4, RPL12, RPS27, RPL3
GO_BP	metaphase plate congression	GO:0051310	2	345	13	18004	0.0248412330776331	0.0957467245642146	8.02853957636566	9.35489000795123	SPICE1, INCENP
GO_BP	neuron remodeling	GO:0016322	2	345	13	18004	0.0248412330776331	0.0957467245642146	8.02853957636566	9.35489000795123	ANKS1A, FARP2
GO_BP	transcription by RNA polymerase II	GO:0006366	7	345	149	18004	0.0248745728028247	0.0957467245642146	2.45166812566871	2.55477539794983	MYC, GMEB2, SNAPC5, XBP1, ATF4, POLR2L, TAF11
GO_BP	neuron differentiation	GO:0030182	8	345	183	18004	0.0250292267533009	0.0957467245642146	2.28133365011483	2.3717168291649	ASCL2, IRX3, GATA2, ATF4, IRX5, MAP2K1, IRX4, BHLHA15
WikiPathways	Endoderm differentiation	WP2853	7	158	145	7782	0.027959327915995	0.105284344183669	2.37773897861196	2.51473269987523	HNF1B, TCF4, EMSY, CTBP2, SESN1, ELK4, RFX7
GO_BP	actin crosslink formation	GO:0051764	2	345	14	18004	0.0286197402796684	0.106113190883078	7.45507246376812	8.57482993197279	BAIAP2L1, GAS2L1
GO_BP	positive regulation of telomerase RNA localization to Cajal body	GO:1904874	2	345	15	18004	0.0326113186458033	0.116920086283029	6.95806763285024	7.91477909845257	RUVBL1, TCP1
GO_BP	microtubule anchoring	GO:0034453	2	345	15	18004	0.0326113186458033	0.116920086283029	6.95806763285024	7.91477909845257	BCCIP, SAXO1
WikiPathways	Insulin signaling	WP481	10	158	253	7782	0.0329898998640912	0.116920086283029	1.94676539750838	2.05233010788566	SKIL, PTEN, XBP1, GNS, PFKM, MAP2K1, SHC1, SOX9, FOXO3, STXBP1
GO_BP	cytoskeleton organization	GO:0007010	7	345	159	18004	0.0337496170680214	0.117879097295553	2.29747516179017	2.38533556524447	PACSIN1, SOX9, KRT84, KRT5, KRT6A, TUBA1C, ZRANB1
GO_BP	regulation of protein stability	GO:0031647	5	345	94	18004	0.0345546812096994	0.118966831021965	2.77582485353068	2.90317250495704	ATF7IP, TERT, PTEN, XBP1, CD81
GO_BP	regulation of transcription involved in G1/S transition of mitotic cell cycle	GO:0000083	2	345	16	18004	0.0368064651936102	0.123199418217501	6.5231884057971	7.34902124114952	CDK18, KLF11
GO_BP	negative regulation of cell-cell adhesion	GO:0022408	2	345	16	18004	0.0368064651936102	0.123199418217501	6.5231884057971	7.34902124114952	GTPBP4, SPINT2
GO_BP	positive regulation of Wnt signaling pathway	GO:0030177	3	345	39	18004	0.0383650521458269	0.126657226947182	4.01426978818283	4.29410331384016	PBXIP1, TERT, ZRANB1
WikiPathways	Deregulation of Rab and Rab effector genes in bladder cancer	WP2291	2	158	16	7782	0.0407993429130067	0.132376354862111	6.15664556962025	6.96886446886447	MLPH, EXPH5
GO_BP	regulation of double-strand break repair via homologous recombination	GO:0010569	2	345	17	18004	0.0411959610566734	0.132376354862111	6.13947144075021	6.85869776482021	RTEL1, RAD51
GO_BP	regulation of protein catabolic process	GO:0042176	2	345	18	18004	0.0457708641285031	0.144706665850345	5.79838969404187	6.42966472303207	CHEK2, ODC1
GO_BP	centrosome cycle	GO:0007098	3	345	42	18004	0.0462340799604838	0.144706665850345	3.72753623188406	3.96311291048133	HAUS6, HAUS8, CHD3
GO_BP	histone H3 deacetylation	GO:0070932	2	345	19	18004	0.0505225018989475	0.154125607058815	5.4932112890923	6.05110615674841	HDAC7, ELK4
GO_BP	response to muscle activity	GO:0014850	2	345	19	18004	0.0505225018989475	0.154125607058815	5.4932112890923	6.05110615674841	TNS2, ADSL
GO_BP	phosphorylation	GO:0016310	20	345	713	18004	0.0578906345232507	0.174395536501293	1.46382909527004	1.50658230658231	PIK3C2B, CDK18, CDK9, PMVK, BMPR1B, CHEK2, PASK, CDKN1B, PFKM, MAP2K1, PDK1, TOLLIP, PACSIN1, STK25, RIPK4, NUAK2, LMTK2, TAB1, ATM, TBK1
GO_BP	transport	GO:0006810	2	345	22	18004	0.0657549963906535	0.190060052648329	4.74413702239789	5.14256559766764	ALB, AFM
GO_BP	multicellular organism development	GO:0007275	6	345	149	18004	0.0673318918526327	0.190060052648329	2.10142982200175	2.16795593786744	VDR, CD164, HOXA10, HOXA9, KREMEN1, LMTK2
WikiPathways	Ectoderm differentiation	WP2858	6	158	144	7782	0.0725274627447794	0.190060052648329	2.05221518987342	2.14130434782609	MYC, SKIL, PPFIBP2, RIT1, KRT6A, GAS2L1
GO_BP	coronary vasculature development	GO:0060976	2	345	24	18004	0.0766461769898644	0.190060052648329	4.3487922705314	4.67452955208057	MMP21, TAB1
GO_BP	membrane protein ectodomain proteolysis	GO:0006509	2	345	24	18004	0.0766461769898644	0.190060052648329	4.3487922705314	4.67452955208057	MMP7, BACE2
GO_BP	response to virus	GO:0009615	5	345	118	18004	0.07671143834899	0.190060052648329	2.21125030704986	2.28344612181156	ADAR, ITGB8, ODC1, MX1, TBK1
GO_BP	RNA splicing, via transesterification reactions	GO:0000375	2	345	25	18004	0.0822903364127737	0.190060052648329	4.17484057971015	4.47103561921663	SF3B4, PRPF3
GO_BP	rRNA processing	GO:0006364	6	345	158	18004	0.0838751167369585	0.190060052648329	1.98172812328013	2.03854215183978	MPHOSPH6, NOC4L, RPS27, DDX51, GEMIN4, MTERF4
WikiPathways	Steroid biosynthesis	WP496	6	158	150	7782	0.0845048874399297	0.190060052648329	1.97012658227848	2.05043859649123	VDR, PTEN, HSD17B2, SESN1, PPP1R14A, TBK1
GO_BP	odontogenesis of dentin-containing tooth	GO:0042475	3	345	55	18004	0.0884132073404794	0.190060052648329	2.84648221343874	2.97014170040486	DLX2, BCL2L11, DLX1
GO_BP	adenosine 5'-(hexahydrogen pentaphosphate) catabolic process	GO:1901911	1	345	5	18004	0.092219607555943	0.190060052648329	10.4371014492754	12.8306686046512	NUDT3
GO_BP	leukocyte differentiation	GO:0002521	1	345	5	18004	0.092219607555943	0.190060052648329	10.4371014492754	12.8306686046512	TET2
GO_BP	positive regulation of cellular pH reduction	GO:0032849	1	345	5	18004	0.092219607555943	0.190060052648329	10.4371014492754	12.8306686046512	AVPR1B
GO_BP	calcium ion export across plasma membrane	GO:1990034	1	345	5	18004	0.092219607555943	0.190060052648329	10.4371014492754	12.8306686046512	ATP2B1
GO_BP	positive regulation of 3'-UTR-mediated mRNA stabilization	GO:1905870	1	345	5	18004	0.092219607555943	0.190060052648329	10.4371014492754	12.8306686046512	LARP4B
GO_BP	spongiotrophoblast differentiation	GO:0060708	1	345	5	18004	0.092219607555943	0.190060052648329	10.4371014492754	12.8306686046512	ASCL2
GO_BP	positive regulation of vitamin D receptor signaling pathway	GO:0070564	1	345	5	18004	0.092219607555943	0.190060052648329	10.4371014492754	12.8306686046512	VDR
GO_BP	reproductive system development	GO:0061458	1	345	5	18004	0.092219607555943	0.190060052648329	10.4371014492754	12.8306686046512	UBE2Q1
GO_BP	regulation of nuclear cell cycle DNA replication	GO:0033262	1	345	5	18004	0.092219607555943	0.190060052648329	10.4371014492754	12.8306686046512	TIPIN
GO_BP	positive regulation of macromolecule metabolic process	GO:0010604	1	345	5	18004	0.092219607555943	0.190060052648329	10.4371014492754	12.8306686046512	BMPR1B
GO_BP	tetrapyrrole biosynthetic process	GO:0033014	1	345	5	18004	0.092219607555943	0.190060052648329	10.4371014492754	12.8306686046512	UROS
GO_BP	positive regulation of retinoic acid receptor signaling pathway	GO:0048386	1	345	5	18004	0.092219607555943	0.190060052648329	10.4371014492754	12.8306686046512	CTBP2
GO_BP	response to salt	GO:1902074	1	345	5	18004	0.092219607555943	0.190060052648329	10.4371014492754	12.8306686046512	RNLS
GO_BP	L-arginine import across plasma membrane	GO:0097638	1	345	5	18004	0.092219607555943	0.190060052648329	10.4371014492754	12.8306686046512	SLC22A2
GO_BP	folic acid-containing compound metabolic process	GO:0006760	1	345	5	18004	0.092219607555943	0.190060052648329	10.4371014492754	12.8306686046512	FPGS
GO_BP	DNA packaging	GO:0006323	1	345	5	18004	0.092219607555943	0.190060052648329	10.4371014492754	12.8306686046512	HAT1
GO_BP	meiotic sister chromatid cohesion	GO:0051177	1	345	5	18004	0.092219607555943	0.190060052648329	10.4371014492754	12.8306686046512	HORMAD1
GO_BP	hypoxia-inducible factor-1alpha signaling pathway	GO:0097411	1	345	5	18004	0.092219607555943	0.190060052648329	10.4371014492754	12.8306686046512	PDK1
GO_BP	cellular magnesium ion homeostasis	GO:0010961	1	345	5	18004	0.092219607555943	0.190060052648329	10.4371014492754	12.8306686046512	SLC41A1
GO_BP	calcium activated phospholipid scrambling	GO:0061588	1	345	5	18004	0.092219607555943	0.190060052648329	10.4371014492754	12.8306686046512	ANO7
GO_BP	regulation of glycogen metabolic process	GO:0070873	1	345	5	18004	0.092219607555943	0.190060052648329	10.4371014492754	12.8306686046512	PHLDA2
GO_BP	spliceosomal snRNP assembly	GO:0000387	2	345	27	18004	0.0939409266643647	0.190060052648329	3.86559312936125	4.11288629737609	SNRPC, GEMIN4
WikiPathways	Male infertility	WP4673	6	158	155	7782	0.0952758509071063	0.190060052648329	1.9065741118824	1.98030731190392	CDK9, MSMB, SOD2, HORMAD1, ATM, HMGA1
WikiPathways	Mitochondrial fatty acid synthesis pathway	WP4317	1	158	5	7782	0.0975009867723875	0.190060052648329	9.8506329113924	12.1337579617834	MCAT
GO_BP	negative regulation of catalytic activity	GO:0043086	5	345	128	18004	0.099931305811288	0.190060052648329	2.03849637681159	2.09660449545672	ENSA, LMTK2, ANXA9, UMODL1, PPP1R14A
GO_BP	sperm axoneme assembly	GO:0007288	2	345	28	18004	0.0999340616339978	0.190060052648329	3.72753623188406	3.95447409733124	ARMC2, CFAP157
GO_BP	cell-cell adhesion	GO:0098609	7	345	206	18004	0.102047420092128	0.190060052648329	1.77329393555649	1.81707353334721	KRT18, SHC1, SOX9, ANXA9, BAIAP2L1, ITGA6, PDLIM5
GO_BP	bicarbonate transport	GO:0015701	2	345	29	18004	0.106030574203704	0.190060052648329	3.59900049975013	3.80779613432675	CYB5R2, SLC26A9
GO_BP	protein targeting to mitochondrion	GO:0006626	2	345	29	18004	0.106030574203704	0.190060052648329	3.59900049975013	3.80779613432675	TIMM10B, MTERF4
GO_BP	negative regulation of protein targeting to mitochondrion	GO:1903215	1	345	6	18004	0.109619698415426	0.190060052648329	8.6975845410628	10.2639534883721	C11orf65
GO_BP	regulation of Arp2/3 complex-mediated actin nucleation	GO:0034315	1	345	6	18004	0.109619698415426	0.190060052648329	8.6975845410628	10.2639534883721	ARFIP2
GO_BP	positive regulation of helicase activity	GO:0051096	1	345	6	18004	0.109619698415426	0.190060052648329	8.6975845410628	10.2639534883721	CHTOP
GO_BP	regulation of oligodendrocyte differentiation	GO:0048713	1	345	6	18004	0.109619698415426	0.190060052648329	8.6975845410628	10.2639534883721	SLC45A3
GO_BP	regulation of respiratory gaseous exchange	GO:0043576	1	345	6	18004	0.109619698415426	0.190060052648329	8.6975845410628	10.2639534883721	PASK
GO_BP	neutrophil degranulation	GO:0043312	1	345	6	18004	0.109619698415426	0.190060052648329	8.6975845410628	10.2639534883721	VAMP8
GO_BP	negative regulation of natural killer cell activation	GO:0032815	1	345	6	18004	0.109619698415426	0.190060052648329	8.6975845410628	10.2639534883721	RHBDD3
GO_BP	regulation of protein ADP-ribosylation	GO:0010835	1	345	6	18004	0.109619698415426	0.190060052648329	8.6975845410628	10.2639534883721	ADNP
GO_BP	blastocyst growth	GO:0001832	1	345	6	18004	0.109619698415426	0.190060052648329	8.6975845410628	10.2639534883721	RAD51B
GO_BP	positive regulation of cell fate commitment	GO:0010455	1	345	6	18004	0.109619698415426	0.190060052648329	8.6975845410628	10.2639534883721	SPDEF
GO_BP	abscission	GO:0009838	1	345	6	18004	0.109619698415426	0.190060052648329	8.6975845410628	10.2639534883721	ZFYVE19
GO_BP	prostate epithelial cord arborization involved in prostate glandular acinus morphogenesis	GO:0060527	1	345	6	18004	0.109619698415426	0.190060052648329	8.6975845410628	10.2639534883721	HOXB13
GO_BP	regulation of autophagosome maturation	GO:1901096	1	345	6	18004	0.109619698415426	0.190060052648329	8.6975845410628	10.2639534883721	TECPR1
GO_BP	[2Fe-2S] cluster assembly	GO:0044571	1	345	6	18004	0.109619698415426	0.190060052648329	8.6975845410628	10.2639534883721	HSCB
GO_BP	positive regulation of gap junction assembly	GO:1903598	1	345	6	18004	0.109619698415426	0.190060052648329	8.6975845410628	10.2639534883721	IRX3
GO_BP	water homeostasis	GO:0030104	1	345	6	18004	0.109619698415426	0.190060052648329	8.6975845410628	10.2639534883721	TOR2A
GO_BP	positive regulation of cell proliferation in bone marrow	GO:0071864	1	345	6	18004	0.109619698415426	0.190060052648329	8.6975845410628	10.2639534883721	SHC1
GO_BP	peptidyl-methionine modification	GO:0018206	1	345	6	18004	0.109619698415426	0.190060052648329	8.6975845410628	10.2639534883721	METAP1D
GO_BP	Golgi localization	GO:0051645	1	345	6	18004	0.109619698415426	0.190060052648329	8.6975845410628	10.2639534883721	STK25
GO_BP	enzyme-directed rRNA pseudouridine synthesis	GO:0000455	1	345	6	18004	0.109619698415426	0.190060052648329	8.6975845410628	10.2639534883721	RPUSD2
GO_BP	intracellular distribution of mitochondria	GO:0048312	1	345	7	18004	0.126687217252419	0.202196154687636	7.45507246376812	8.55281007751938	BHLHA15
GO_BP	regulation of appetite	GO:0032098	1	345	7	18004	0.126687217252419	0.202196154687636	7.45507246376812	8.55281007751938	SLC22A3
GO_BP	intramembranous ossification	GO:0001957	1	345	7	18004	0.126687217252419	0.202196154687636	7.45507246376812	8.55281007751938	CTSK
GO_BP	posttranslational protein targeting to membrane, translocation	GO:0031204	1	345	7	18004	0.126687217252419	0.202196154687636	7.45507246376812	8.55281007751938	SEC61A1
GO_BP	histidine catabolic process	GO:0006548	1	345	7	18004	0.126687217252419	0.202196154687636	7.45507246376812	8.55281007751938	CARNS1
GO_BP	regulation of Rab protein signal transduction	GO:0032483	1	345	7	18004	0.126687217252419	0.202196154687636	7.45507246376812	8.55281007751938	DENND4B
GO_BP	positive regulation of miRNA-mediated gene silencing by inhibition of translation	GO:1905618	1	345	7	18004	0.126687217252419	0.202196154687636	7.45507246376812	8.55281007751938	TNRC6B
GO_BP	tRNA transcription by RNA polymerase III	GO:0042797	1	345	7	18004	0.126687217252419	0.202196154687636	7.45507246376812	8.55281007751938	POLR2L
GO_BP	transcription initiation from RNA polymerase III promoter	GO:0006384	1	345	7	18004	0.126687217252419	0.202196154687636	7.45507246376812	8.55281007751938	SNAPC5
GO_BP	Cdc42 protein signal transduction	GO:0032488	1	345	7	18004	0.126687217252419	0.202196154687636	7.45507246376812	8.55281007751938	RHOV
GO_BP	selenocysteine incorporation	GO:0001514	1	345	7	18004	0.126687217252419	0.202196154687636	7.45507246376812	8.55281007751938	EEFSEC
GO_BP	macrophage derived foam cell differentiation	GO:0010742	1	345	7	18004	0.126687217252419	0.202196154687636	7.45507246376812	8.55281007751938	SOAT2
WikiPathways	SARS-CoV-2 and angiotensin-converting enzyme 2 receptor: molecular mechanisms	WP4883	1	158	7	7782	0.13380170058632	0.212146117376994	7.03616636528029	8.08704883227176	TMPRSS2
GO_BP	heme transport	GO:0015886	1	345	8	18004	0.14342850247132	0.220167319080179	6.5231884057971	7.33056478405316	SLC48A1
GO_BP	mitochondrial transmembrane transport	GO:1990542	1	345	8	18004	0.14342850247132	0.220167319080179	6.5231884057971	7.33056478405316	SFXN2
GO_BP	negative regulation of receptor binding	GO:1900121	1	345	8	18004	0.14342850247132	0.220167319080179	6.5231884057971	7.33056478405316	ADAM15
GO_BP	glycogen catabolic process	GO:0005980	1	345	8	18004	0.14342850247132	0.220167319080179	6.5231884057971	7.33056478405316	PFKM
